model,stage_index,stage_name,parameter_group,candidate_index,note,best_val_MSE,selected,config_json
rnn,4,RNN batch_size sweep,batch_size,3,model=RNN;stage=batch_size_sweep;candidate_param=batch;candidates=32|64|128;fixed=hidden:64|layers:2|lr:0.0001;selection=best_val_MSE;hidden=64;layers=2;lr=0.0001;batch=128,0.00014799841611162496,False,"{""batch_size"": 128, ""hidden"": 64, ""layers"": 2, ""lr"": 0.0001}"
transformer,1,Transformer lr sweep,lr,1,model=Transformer;stage=lr_sweep;candidate_param=lr;candidates=0.001|0.0005|0.0001;fixed=batch:64|d_model:64|layers:2|nhead:4;selection=best_val_MSE;d_model=64;layers=2;nhead=4;lr=0.001;batch=64,0.0001514651646368403,True,"{""batch_size"": 64, ""d_model"": 64, ""lr"": 0.001, ""nhead"": 4, ""num_layers"": 2}"
transformer,1,Transformer lr sweep,lr,2,model=Transformer;stage=lr_sweep;candidate_param=lr;candidates=0.001|0.0005|0.0001;fixed=batch:64|d_model:64|layers:2|nhead:4;selection=best_val_MSE;d_model=64;layers=2;nhead=4;lr=0.0005;batch=64,0.0001528652022682841,False,"{""batch_size"": 64, ""d_model"": 64, ""lr"": 0.0005, ""nhead"": 4, ""num_layers"": 2}"
transformer,1,Transformer lr sweep,lr,3,model=Transformer;stage=lr_sweep;candidate_param=lr;candidates=0.001|0.0005|0.0001;fixed=batch:64|d_model:64|layers:2|nhead:4;selection=best_val_MSE;d_model=64;layers=2;nhead=4;lr=0.0001;batch=64,0.0001805377333223263,False,"{""batch_size"": 64, ""d_model"": 64, ""lr"": 0.0001, ""nhead"": 4, ""num_layers"": 2}"
transformer,2,Transformer d_model sweep,d_model,1,model=Transformer;stage=d_model_sweep;candidate_param=d_model;candidates=32|64|128;fixed=batch:64|layers:2|lr:0.001|nhead:4;selection=best_val_MSE;d_model=32;layers=2;nhead=4;lr=0.001;batch=64,0.00014970278694397338,True,"{""batch_size"": 64, ""d_model"": 32, ""lr"": 0.001, ""nhead"": 4, ""num_layers"": 2}"
transformer,2,Transformer d_model sweep,d_model,2,model=Transformer;stage=d_model_sweep;candidate_param=d_model;candidates=32|64|128;fixed=batch:64|layers:2|lr:0.001|nhead:4;selection=best_val_MSE;d_model=64;layers=2;nhead=4;lr=0.001;batch=64,0.00015624950195288414,False,"{""batch_size"": 64, ""d_model"": 64, ""lr"": 0.001, ""nhead"": 4, ""num_layers"": 2}"
transformer,2,Transformer d_model sweep,d_model,3,model=Transformer;stage=d_model_sweep;candidate_param=d_model;candidates=32|64|128;fixed=batch:64|layers:2|lr:0.001|nhead:4;selection=best_val_MSE;d_model=128;layers=2;nhead=4;lr=0.001;batch=64,0.0001797868806779636,False,"{""batch_size"": 64, ""d_model"": 128, ""lr"": 0.001, ""nhead"": 4, ""num_layers"": 2}"
transformer,3,Transformer num_layers sweep,num_layers,1,model=Transformer;stage=num_layers_sweep;candidate_param=layers;candidates=1|2|3;fixed=batch:64|d_model:32|lr:0.001|nhead:4;selection=best_val_MSE;d_model=32;layers=1;nhead=4;lr=0.001;batch=64,0.0001469905408357941,True,"{""batch_size"": 64, ""d_model"": 32, ""lr"": 0.001, ""nhead"": 4, ""num_layers"": 1}"
transformer,3,Transformer num_layers sweep,num_layers,2,model=Transformer;stage=num_layers_sweep;candidate_param=layers;candidates=1|2|3;fixed=batch:64|d_model:32|lr:0.001|nhead:4;selection=best_val_MSE;d_model=32;layers=2;nhead=4;lr=0.001;batch=64,0.0001491279757232726,False,"{""batch_size"": 64, ""d_model"": 32, ""lr"": 0.001, ""nhead"": 4, ""num_layers"": 2}"
transformer,3,Transformer num_layers sweep,num_layers,3,model=Transformer;stage=num_layers_sweep;candidate_param=layers;candidates=1|2|3;fixed=batch:64|d_model:32|lr:0.001|nhead:4;selection=best_val_MSE;d_model=32;layers=3;nhead=4;lr=0.001;batch=64,0.00018228020129924815,False,"{""batch_size"": 64, ""d_model"": 32, ""lr"": 0.001, ""nhead"": 4, ""num_layers"": 3}"
transformer,4,Transformer nhead sweep,nhead,1,model=Transformer;stage=nhead_sweep;candidate_param=nhead;candidates=2|4|8;fixed=batch:64|d_model:32|layers:1|lr:0.001;selection=best_val_MSE;d_model=32;layers=1;nhead=2;lr=0.001;batch=64,0.00015545529945972878,False,"{""batch_size"": 64, ""d_model"": 32, ""lr"": 0.001, ""nhead"": 2, ""num_layers"": 1}"
transformer,4,Transformer nhead sweep,nhead,2,model=Transformer;stage=nhead_sweep;candidate_param=nhead;candidates=2|4|8;fixed=batch:64|d_model:32|layers:1|lr:0.001;selection=best_val_MSE;d_model=32;layers=1;nhead=4;lr=0.001;batch=64,0.0001484941211267703,False,"{""batch_size"": 64, ""d_model"": 32, ""lr"": 0.001, ""nhead"": 4, ""num_layers"": 1}"
transformer,4,Transformer nhead sweep,nhead,3,model=Transformer;stage=nhead_sweep;candidate_param=nhead;candidates=2|4|8;fixed=batch:64|d_model:32|layers:1|lr:0.001;selection=best_val_MSE;d_model=32;layers=1;nhead=8;lr=0.001;batch=64,0.00014058778694007911,True,"{""batch_size"": 64, ""d_model"": 32, ""lr"": 0.001, ""nhead"": 8, ""num_layers"": 1}"
transformer,5,Transformer batch_size sweep,batch_size,1,model=Transformer;stage=batch_size_sweep;candidate_param=batch;candidates=32|64|128;fixed=d_model:32|layers:1|lr:0.001|nhead:8;selection=best_val_MSE;d_model=32;layers=1;nhead=8;lr=0.001;batch=32,0.00014070509727885522,True,"{""batch_size"": 32, ""d_model"": 32, ""lr"": 0.001, ""nhead"": 8, ""num_layers"": 1}"
transformer,5,Transformer batch_size sweep,batch_size,2,model=Transformer;stage=batch_size_sweep;candidate_param=batch;candidates=32|64|128;fixed=d_model:32|layers:1|lr:0.001|nhead:8;selection=best_val_MSE;d_model=32;layers=1;nhead=8;lr=0.001;batch=64,0.000149007008065272,False,"{""batch_size"": 64, ""d_model"": 32, ""lr"": 0.001, ""nhead"": 8, ""num_layers"": 1}"
transformer,5,Transformer batch_size sweep,batch_size,3,model=Transformer;stage=batch_size_sweep;candidate_param=batch;candidates=32|64|128;fixed=d_model:32|layers:1|lr:0.001|nhead:8;selection=best_val_MSE;d_model=32;layers=1;nhead=8;lr=0.001;batch=128,0.00014382478408507437,False,"{""batch_size"": 128, ""d_model"": 32, ""lr"": 0.001, ""nhead"": 8, ""num_layers"": 1}"
